Watford,1,Everton,0,2,5,3,0,3,0,0,5,6,10,1,0,0,0,7,3,1,0,13,11,2,3,14,8,59,257,32,284,39,277,220,92,159,152,24,152,140,11,7,25,6,37,53,0,21,32,2,8,1,13,29,493,9,11,0,1,3,2,3
Leicester,0,Sunderland,0,4,8,7,1,4,0,1,14,4,13,1,4,1,0,7,8,4,0,23,11,6,1,21,18,69,321,50,340,53,337,270,118,187,203,56,189,145,6,10,19,5,18,21,0,12,9,2,11,0,13,16,506,12,8,0,0,3,1,0
Sunderland,1,Leicester,0,2,5,4,0,2,0,3,4,4,8,0,3,0,0,4,3,4,0,20,10,3,2,25,9,63,431,47,447,54,440,344,150,251,243,100,274,120,5,5,19,6,11,14,0,3,11,4,9,1,17,25,600,14,17,0,1,4,3,0
Norwich,0,Crystal Palace,0,1,6,9,0,2,0,1,5,11,14,0,3,0,0,7,7,3,0,18,19,1,0,23,12,63,451,48,466,22,492,335,179,242,271,78,273,163,3,2,20,10,7,26,0,23,3,2,8,4,14,10,610,12,7,1,0,4,1,1
Crystal Palace,1,Norwich,0,3,7,2,0,2,0,3,5,3,10,0,1,0,0,9,1,1,0,18,16,4,2,19,10,62,247,32,277,24,285,215,93,142,165,40,126,143,10,8,14,3,12,34,0,16,18,3,6,2,20,8,418,13,6,0,0,4,0,0
Chelsea,0,Swansea,0,1,3,5,0,3,0,0,6,5,8,1,2,0,0,9,1,1,0,23,14,4,2,24,8,47,436,42,441,31,452,315,161,239,243,68,201,214,14,15,16,13,13,14,0,10,4,5,7,2,15,14,600,9,10,1,0,7,2,1
Swansea,1,Chelsea,0,2,10,2,0,5,1,0,12,5,11,0,5,1,1,6,8,3,0,19,15,8,4,22,12,58,387,40,405,28,417,283,160,215,229,96,211,138,13,8,22,14,12,29,0,14,15,2,11,4,16,21,579,10,18,0,0,2,1,1
Newcastle,0,Southampton,0,2,4,3,0,2,0,1,5,3,3,1,5,0,0,4,3,1,1,35,12,6,0,34,8,66,493,67,492,33,526,358,193,273,279,83,293,183,10,13,13,7,15,24,0,11,13,3,5,0,9,14,653,7,15,0,0,2,1,1
Southampton,1,Newcastle,0,2,4,7,0,3,0,0,10,4,12,0,2,0,0,4,5,5,0,18,7,6,1,19,12,66,361,61,366,44,383,284,142,221,204,74,212,141,7,5,18,10,34,32,0,13,19,3,15,3,12,21,575,8,20,1,0,2,1,1
Arsenal,0,West Ham,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
